gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_group,MonthlyCharges_z,High_Value,approx_lifetime_value,avg_monthly_spend,contract_payment_combo,churn_proba,expected_revenue_at_risk
Male,1,0,0,67,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),101.4,6841.05,49-72,1.217622139987529,1,6793.8,100.60367647058824,Month-to-month_Credit card (automatic),0.6361356200705786,4321.778175635497
Female,1,1,0,63,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,103.5,6479.4,49-72,1.287412658865182,1,6520.5,101.240625,Month-to-month_Electronic check,0.6622654802821786,4318.302064179946
Male,1,1,1,66,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.5,6822.15,49-72,1.154478337193462,1,6567.0,101.82313432835821,Month-to-month_Credit card (automatic),0.6378449474059287,4188.727769614734
Male,0,1,1,69,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.45,7007.6,49-72,1.1528166581725656,1,6862.05,100.10857142857144,Month-to-month_Credit card (automatic),0.6045498646042876,4148.451398407852
Female,0,1,0,60,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.15,6411.25,49-72,1.3754816469726967,1,6369.0,105.10245901639344,Month-to-month_Electronic check,0.643955572792338,4101.3530431144
Male,1,1,0,53,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,101.9,5549.4,49-72,1.2342389301964942,1,5400.700000000001,102.76666666666667,Month-to-month_Electronic check,0.7305193837459346,3945.3160357966694
Male,1,1,0,46,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.85,4564.9,25-48,1.1328765099218072,1,4547.099999999999,97.12553191489361,Month-to-month_Electronic check,0.8337281138821965,3791.045106633735
Male,0,1,1,49,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.8,4872.45,49-72,1.164448411318841,1,4890.2,97.449,Month-to-month_Electronic check,0.7529584353061821,3682.117340334292
Male,0,0,0,69,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,1,Bank transfer (automatic),105.2,7386.05,49-72,1.3439097455756632,1,7258.8,105.515,One year_Bank transfer (automatic),0.5035595869091022,3655.2383294557912
Male,1,1,0,67,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),94.65,6079.0,49-72,0.9932954721665015,0,6341.55,89.3970588235294,Month-to-month_Credit card (automatic),0.5723356689685323,3629.495261547396
