gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_group,MonthlyCharges_z,High_Value,approx_lifetime_value,avg_monthly_spend,contract_payment_combo,churn_proba,expected_revenue_at_risk
Male,0,1,1,69,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.45,7007.6,49-72,1.1528166581725656,1,6862.05,100.10857142857144,Month-to-month_Credit card (automatic),0.8805214,6042.181987220049
Male,1,1,1,66,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.5,6822.15,49-72,1.154478337193462,1,6567.0,101.82313432835821,Month-to-month_Credit card (automatic),0.91044945,5978.9215069413185
Male,1,0,0,67,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),101.4,6841.05,49-72,1.217622139987529,1,6793.8,100.60367647058824,Month-to-month_Credit card (automatic),0.8598437,5841.605934226513
Male,0,1,0,71,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),108.55,7616.0,49-72,1.4552422399757285,1,7707.05,105.77777777777777,Two year_Credit card (automatic),0.7359235,5671.799431645871
Male,0,1,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),115.65,7968.85,49-72,1.691200660943032,1,8095.5,112.23732394366198,One year_Credit card (automatic),0.6395828,5177.742660909891
Male,1,1,0,67,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),94.65,6079.0,49-72,0.9932954721665015,0,6341.55,89.3970588235294,Month-to-month_Credit card (automatic),0.7938772,5034.411858674884
Female,0,1,0,60,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.15,6411.25,49-72,1.3754816469726967,1,6369.0,105.10245901639344,Month-to-month_Electronic check,0.763792,4864.5911101698875
Male,1,1,0,53,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,101.9,5549.4,49-72,1.2342389301964942,1,5400.700000000001,102.76666666666667,Month-to-month_Electronic check,0.88007486,4753.020289194585
Male,0,1,1,61,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Electronic check,99.9,6241.35,49-72,1.1677717693606342,1,6093.900000000001,100.66693548387097,One year_Electronic check,0.74893045,4563.907295179368
Male,0,0,0,69,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,1,Bank transfer (automatic),105.2,7386.05,49-72,1.3439097455756632,1,7258.8,105.515,One year_Bank transfer (automatic),0.6162187,4473.008198690414
